# JMH version: 1.23
# AWS instance: c5.4xlarge
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_0_log_call_simple.run

# Run progress: 0.00% complete, ETA 01:06:40
# Fork: 1 of 5
# Warmup Iteration   1: 366.665 ns/op
# Warmup Iteration   2: 355.655 ns/op
# Warmup Iteration   3: 355.746 ns/op
# Warmup Iteration   4: 356.074 ns/op
# Warmup Iteration   5: 356.383 ns/op
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_4_flake_string_representation.run

# Run progress: 50.00% complete, ETA 00:33:45
# Fork: 1 of 5
# Warmup Iteration   1: 72.864 ns/op
# Warmup Iteration   2: 70.796 ns/op
# Warmup Iteration   3: 76.626 ns/op
# Warmup Iteration   4: 76.571 ns/op
# Warmup Iteration   5: 76.616 ns/op
Iteration   1: 76.670 ns/op
Iteration   2: 76.654 ns/op
Iteration   3: 76.710 ns/op
Iteration   4: 76.681 ns/op
Iteration   5: 76.699 ns/op

# Run progress: 52.50% complete, ETA 00:32:04
# Fork: 2 of 5
# Warmup Iteration   1: 72.658 ns/op
# Warmup Iteration   2: 71.058 ns/op
# Warmup Iteration   3: 78.423 ns/op
# Warmup Iteration   4: 78.356 ns/op
# Warmup Iteration   5: 78.338 ns/op
Iteration   1: 78.387 ns/op
Iteration   2: 78.341 ns/op
Iteration   3: 78.326 ns/op
Iteration   4: 78.289 ns/op
Iteration   5: 78.302 ns/op

# Run progress: 55.00% complete, ETA 00:30:22
# Fork: 3 of 5
# Warmup Iteration   1: 72.801 ns/op
# Warmup Iteration   2: 70.968 ns/op
# Warmup Iteration   3: 76.871 ns/op
# Warmup Iteration   4: 76.785 ns/op
# Warmup Iteration   5: 76.911 ns/op
Iteration   1: 76.937 ns/op
Iteration   2: 76.995 ns/op
Iteration   3: 77.017 ns/op
Iteration   4: 77.025 ns/op
Iteration   5: 77.021 ns/op

# Run progress: 57.50% complete, ETA 00:28:41
# Fork: 4 of 5
# Warmup Iteration   1: 72.900 ns/op
# Warmup Iteration   2: 70.939 ns/op
# Warmup Iteration   3: 76.204 ns/op
# Warmup Iteration   4: 76.120 ns/op
# Warmup Iteration   5: 76.106 ns/op
Iteration   1: 76.087 ns/op
Iteration   2: 76.199 ns/op
Iteration   3: 76.132 ns/op
Iteration   4: 76.135 ns/op
Iteration   5: 76.098 ns/op

# Run progress: 60.00% complete, ETA 00:27:00
# Fork: 5 of 5
# Warmup Iteration   1: 72.834 ns/op
# Warmup Iteration   2: 71.041 ns/op
# Warmup Iteration   3: 76.249 ns/op
# Warmup Iteration   4: 76.150 ns/op
# Warmup Iteration   5: 76.236 ns/op
Iteration   1: 76.182 ns/op
Iteration   2: 76.176 ns/op
Iteration   3: 76.161 ns/op
Iteration   4: 76.143 ns/op
Iteration   5: 76.154 ns/op


Result "jmh1595084248772.bench_4_flake_string_representation.run":
  76.861 ±(99.9%) 0.614 ns/op [Average]
  (min, avg, max) = (76.087, 76.861, 78.387), stdev = 0.820
  CI (99.9%): [76.246, 77.475] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_5_flake_snowflake.run

# Run progress: 62.50% complete, ETA 00:25:19
# Fork: 1 of 5
# Warmup Iteration   1: 74.771 ns/op
# Warmup Iteration   2: 73.069 ns/op
# Warmup Iteration   3: 72.917 ns/op
# Warmup Iteration   4: 72.782 ns/op
# Warmup Iteration   5: 72.773 ns/op
Iteration   1: 72.778 ns/op
Iteration   2: 72.752 ns/op
Iteration   3: 72.765 ns/op
Iteration   4: 72.802 ns/op
Iteration   5: 72.780 ns/op

# Run progress: 65.00% complete, ETA 00:23:37
# Fork: 2 of 5
# Warmup Iteration   1: 75.142 ns/op
# Warmup Iteration   2: 73.318 ns/op
# Warmup Iteration   3: 73.000 ns/op
# Warmup Iteration   4: 73.050 ns/op
# Warmup Iteration   5: 73.065 ns/op
Iteration   1: 73.009 ns/op
Iteration   2: 73.057 ns/op
Iteration   3: 73.037 ns/op
Iteration   4: 73.058 ns/op
Iteration   5: 73.063 ns/op

# Run progress: 67.50% complete, ETA 00:21:56
# Fork: 3 of 5
# Warmup Iteration   1: 75.033 ns/op
# Warmup Iteration   2: 73.001 ns/op
# Warmup Iteration   3: 72.719 ns/op
# Warmup Iteration   4: 72.786 ns/op
# Warmup Iteration   5: 72.775 ns/op
Iteration   1: 72.772 ns/op
Iteration   2: 72.688 ns/op
Iteration   3: 72.669 ns/op
Iteration   4: 72.663 ns/op
Iteration   5: 72.667 ns/op

# Run progress: 70.00% complete, ETA 00:20:15
# Fork: 4 of 5
# Warmup Iteration   1: 74.745 ns/op
# Warmup Iteration   2: 73.119 ns/op
# Warmup Iteration   3: 72.874 ns/op
# Warmup Iteration   4: 72.893 ns/op
# Warmup Iteration   5: 72.796 ns/op
Iteration   1: 72.805 ns/op
Iteration   2: 72.763 ns/op
Iteration   3: 72.784 ns/op
Iteration   4: 72.822 ns/op
Iteration   5: 72.795 ns/op

# Run progress: 72.50% complete, ETA 00:18:33
# Fork: 5 of 5
# Warmup Iteration   1: 74.769 ns/op
# Warmup Iteration   2: 72.941 ns/op
# Warmup Iteration   3: 72.775 ns/op
# Warmup Iteration   4: 72.797 ns/op
# Warmup Iteration   5: 72.784 ns/op
Iteration   1: 72.794 ns/op
Iteration   2: 72.758 ns/op
Iteration   3: 72.742 ns/op
Iteration   4: 72.752 ns/op
Iteration   5: 72.801 ns/op


Result "jmh1595084248772.bench_5_flake_snowflake.run":
  72.815 ±(99.9%) 0.094 ns/op [Average]
  (min, avg, max) = (72.663, 72.815, 73.063), stdev = 0.125
  CI (99.9%): [72.721, 72.909] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_6_flake_hex_representation.run

# Run progress: 75.00% complete, ETA 00:16:52
# Fork: 1 of 5
# Warmup Iteration   1: 83.809 ns/op
# Warmup Iteration   2: 81.731 ns/op
# Warmup Iteration   3: 81.075 ns/op
# Warmup Iteration   4: 81.149 ns/op
# Warmup Iteration   5: 81.177 ns/op
Iteration   1: 81.111 ns/op
Iteration   2: 81.048 ns/op
Iteration   3: 81.030 ns/op
Iteration   4: 81.060 ns/op
Iteration   5: 81.060 ns/op

# Run progress: 77.50% complete, ETA 00:15:11
# Fork: 2 of 5
# Warmup Iteration   1: 83.831 ns/op
# Warmup Iteration   2: 81.740 ns/op
# Warmup Iteration   3: 81.282 ns/op
# Warmup Iteration   4: 81.208 ns/op
# Warmup Iteration   5: 81.131 ns/op
Iteration   1: 81.264 ns/op
Iteration   2: 81.210 ns/op
Iteration   3: 81.422 ns/op
Iteration   4: 81.277 ns/op
Iteration   5: 81.307 ns/op

# Run progress: 80.00% complete, ETA 00:13:30
# Fork: 3 of 5
# Warmup Iteration   1: 100.978 ns/op
# Warmup Iteration   2: 96.736 ns/op
# Warmup Iteration   3: 97.608 ns/op
# Warmup Iteration   4: 97.672 ns/op
# Warmup Iteration   5: 97.595 ns/op
Iteration   1: 97.603 ns/op
Iteration   2: 97.552 ns/op
Iteration   3: 97.545 ns/op
Iteration   4: 97.573 ns/op
Iteration   5: 97.644 ns/op

# Run progress: 82.50% complete, ETA 00:11:48
# Fork: 4 of 5
# Warmup Iteration   1: 99.947 ns/op
# Warmup Iteration   2: 97.071 ns/op
# Warmup Iteration   3: 96.840 ns/op
# Warmup Iteration   4: 96.879 ns/op
# Warmup Iteration   5: 96.919 ns/op
Iteration   1: 96.891 ns/op
Iteration   2: 96.836 ns/op
Iteration   3: 96.851 ns/op
Iteration   4: 96.909 ns/op
Iteration   5: 96.835 ns/op

# Run progress: 85.00% complete, ETA 00:10:07
# Fork: 5 of 5
# Warmup Iteration   1: 83.772 ns/op
# Warmup Iteration   2: 81.795 ns/op
# Warmup Iteration   3: 81.393 ns/op
# Warmup Iteration   4: 81.442 ns/op
# Warmup Iteration   5: 81.404 ns/op
Iteration   1: 81.424 ns/op
Iteration   2: 81.414 ns/op
Iteration   3: 81.513 ns/op
Iteration   4: 81.483 ns/op
Iteration   5: 81.553 ns/op


Result "jmh1595084248772.bench_6_flake_hex_representation.run":
  87.657 ±(99.9%) 5.976 ns/op [Average]
  (min, avg, max) = (81.030, 87.657, 97.644), stdev = 7.977
  CI (99.9%): [81.681, 93.632] (assumes normal distribution)


# JMH version: 1.23
# VM version: JDK 14.0.1, OpenJDK 64-Bit Server VM, 14.0.1+7
# VM invoker: /opt/jdk-14.0.1+7/bin/java
# VM options: -Dfile.encoding=UTF-8 -Djdk.attach.allowAttachSelf -Dclojure.compile.path=/home/admin/mulog/mulog-core/target/classes -Dmulog.version=0.3.1 -Dclojure.debug=false
# Warmup: 5 iterations, 10 s each
# Measurement: 5 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: jmh1595084248772.bench_7_flake_create_and_parse_string.run

# Run progress: 87.50% complete, ETA 00:08:26
# Fork: 1 of 5
# Warmup Iteration   1: 151.300 ns/op
# Warmup Iteration   2: 147.323 ns/op
# Warmup Iteration   3: 147.820 ns/op
# Warmup Iteration   4: 147.895 ns/op
# Warmup Iteration   5: 147.796 ns/op
Iteration   1: 147.894 ns/op
Iteration   2: 147.814 ns/op
Iteration   3: 147.826 ns/op
Iteration   4: 147.840 ns/op
Iteration   5: 147.925 ns/op

# Run progress: 90.00% complete, ETA 00:06:45
# Fork: 2 of 5
# Warmup Iteration   1: 150.394 ns/op
# Warmup Iteration   2: 147.531 ns/op
# Warmup Iteration   3: 147.856 ns/op
# Warmup Iteration   4: 147.885 ns/op
# Warmup Iteration   5: 147.973 ns/op
Iteration   1: 147.973 ns/op
Iteration   2: 147.862 ns/op
Iteration   3: 147.809 ns/op
Iteration   4: 147.819 ns/op
Iteration   5: 147.814 ns/op

# Run progress: 92.50% complete, ETA 00:05:03
# Fork: 3 of 5
# Warmup Iteration   1: 150.922 ns/op
# Warmup Iteration   2: 147.786 ns/op
# Warmup Iteration   3: 148.754 ns/op
# Warmup Iteration   4: 148.719 ns/op
# Warmup Iteration   5: 148.723 ns/op
Iteration   1: 148.583 ns/op
Iteration   2: 148.627 ns/op
Iteration   3: 148.630 ns/op
Iteration   4: 148.597 ns/op
Iteration   5: 148.620 ns/op

# Run progress: 95.00% complete, ETA 00:03:22
# Fork: 4 of 5
# Warmup Iteration   1: 147.817 ns/op
# Warmup Iteration   2: 145.065 ns/op
# Warmup Iteration   3: 145.002 ns/op
# Warmup Iteration   4: 145.010 ns/op
# Warmup Iteration   5: 144.977 ns/op
Iteration   1: 144.952 ns/op
Iteration   2: 145.196 ns/op
Iteration   3: 144.826 ns/op
Iteration   4: 145.019 ns/op
Iteration   5: 145.062 ns/op

# Run progress: 97.50% complete, ETA 00:01:41
# Fork: 5 of 5
# Warmup Iteration   1: 151.542 ns/op
# Warmup Iteration   2: 147.601 ns/op
# Warmup Iteration   3: 148.283 ns/op
# Warmup Iteration   4: 147.920 ns/op
# Warmup Iteration   5: 147.960 ns/op
Iteration   1: 147.961 ns/op
Iteration   2: 147.992 ns/op
Iteration   3: 147.984 ns/op
Iteration   4: 148.422 ns/op
Iteration   5: 147.972 ns/op


Result "jmh1595084248772.bench_7_flake_create_and_parse_string.run":
  147.481 ±(99.9%) 0.971 ns/op [Average]
  (min, avg, max) = (144.826, 147.481, 148.630), stdev = 1.296
  CI (99.9%): [146.510, 148.451] (assumes normal distribution)


# Run complete. Total time: 01:07:30

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                                    Mode  Cnt     Score    Error  Units
j.bench_0_log_call_simple.run                avgt   25   386.121 ± 16.155  ns/op
j.bench_1_trace_call_simple.run              avgt   25  1234.145 ± 39.774  ns/op
j.bench_2_trace_call_with_capture.run        avgt   25  2118.587 ± 35.110  ns/op
j.bench_3_flake_creation.run                 avgt   25    33.209 ±  0.202  ns/op
j.bench_4_flake_string_representation.run    avgt   25    76.861 ±  0.614  ns/op
j.bench_5_flake_snowflake.run                avgt   25    72.815 ±  0.094  ns/op
j.bench_6_flake_hex_representation.run       avgt   25    87.657 ±  5.976  ns/op
j.bench_7_flake_create_and_parse_string.run  avgt   25   147.481 ±  0.971  ns/op
